"","FCP_M1","FCP_M2","FCP_M3","FF_O","LTAVG_Y10P","NFCP_M1","NFCP_M2","NFCP_M3","PRIME_NA","TB_M3","TB_M6","TB_WK4","TB_Y1","TCMII_Y10","TCMII_Y20","TCMII_Y30","TCMII_Y5","TCMII_Y7","TCMNOM_M1","TCMNOM_M3","TCMNOM_M6","TCMNOM_Y10","TCMNOM_Y1","TCMNOM_Y20","TCMNOM_Y2","TCMNOM_Y30","TCMNOM_Y3","TCMNOM_Y5","TCMNOM_Y7"
"20100913",0.02,0,0.02,0,-0.0800000000000001,-0.03,0,-0.03,0,0.00999999999999998,0,-0.01,0,-0.0800000000000001,-0.0999999999999999,-0.0800000000000001,-0.08,-0.08,0,0.00999999999999998,0,-0.0699999999999998,-0.01,-0.0600000000000001,-0.0499999999999999,-0.0499999999999998,-0.0600000000000001,-0.0800000000000001,-0.0900000000000003
"20100915",-0.01,0,0,0.02,0.05,0.05,0.03,-0.01,0,0,0,0,-0.01,0.0399999999999999,0.04,0.0600000000000001,0.02,0.04,0,0,0,0.0600000000000001,0,0.0699999999999998,0,0.0800000000000001,0,0.03,0.04
"20100917",0.02,-0.03,0.01,0,0.02,0,-0.00999999999999998,-0.01,0,0,0,0,0.01,0,-0.02,0.02,0.02,0.02,0,0,0,-0.02,0.01,-0.00999999999999979,0,-0.02,-0.02,-0.02,-0.0299999999999998
"20100921",-0.01,0.01,-0.01,-0.00999999999999998,-0.13,-0.01,0.07,0.00999999999999998,0,0,0,0.01,0.01,-0.16,-0.14,-0.13,-0.14,-0.16,0,0,0,-0.11,0,-0.0799999999999996,-0.04,-0.0800000000000001,-0.0499999999999999,-0.0899999999999999,-0.11
"20100927",0.06,0,-0.01,-0.02,0.0599999999999998,0.04,0.02,-0.05,0,0,0,-0.05,0,0.05,0.0900000000000001,0.05,0.01,0.01,-0.04,0,0,-0.02,0.01,-0.0300000000000002,0,-0.04,-0.02,-0.02,-0.04
"20100929",0.03,-0.02,0,0,0.0700000000000001,-0.02,-0.01,0,0,0,0,0.04,0.01,0.05,0.05,0.05,0.04,0.05,0.04,0,0,0.04,0.01,0.0299999999999998,0.07,0.0299999999999998,0.03,0.03,0.0599999999999998
"20101001",-0.01,0.01,0.00999999999999998,0.05,0,-0.01,0.01,0,0,0,0,0.00999999999999998,-0.01,0,-0.02,-0.0199999999999998,-0.04,-0.02,0.00999999999999998,0,0,0.0100000000000002,-0.01,0.02,0,0.02,-0.01,-0.01,-0.01
"20101005",-0.02,0,0.01,0,-0.0599999999999998,-0.02,0,0.05,0,-0.01,-0.01,-0.00999999999999998,-0.01,-0.07,-0.0900000000000001,-0.05,-0.09,-0.08,-0.00999999999999998,-0.01,-0.01,0,-0.01,0.02,0,0.0300000000000002,-0.02,-0.02,-0.03
"20101007",0,0,0.02,-0.01,0.05,0,-0.01,0.04,0,0,0,0.00999999999999998,-0.01,0.01,0.03,0.05,0.02,0.02,0.00999999999999998,0,0,0,-0.00999999999999998,0.04,-0.02,0.0500000000000003,-0.0299999999999999,-0.02,-0.01
"20101013",0.01,0,0.01,0,-0.0600000000000001,-0.03,-0.01,-0.04,0,0,0.00999999999999998,0,0.00999999999999998,-0.05,-0.0700000000000001,-0.05,-0.1,-0.07,0,0,0.00999999999999998,0.02,0.01,0.04,0,0.04,-0.02,-0.01,0
"20101015",-0.00999999999999998,0,0.02,0.01,0.0699999999999998,0.04,-0.01,0.00999999999999998,0,0,0,-0.00999999999999998,0,0.09,0.0900000000000001,0.0599999999999998,0.11,0.1,-0.00999999999999998,0,0,0.0699999999999998,0,0.0800000000000001,-0.01,0.0699999999999998,-0.01,0.02,0.0499999999999998
"20101019",-0.02,-0.03,0,0,-0.0399999999999998,0.02,0.05,-0.03,0,-0.00999999999999998,0,0,0,-0.03,-0.0700000000000001,-0.0399999999999998,-0.01,-0.01,0,-0.00999999999999998,0,-0.02,-0.01,-0.04,-0.01,-0.0300000000000002,-0.01,-0.0299999999999998,-0.02
"20101021",0,0,-0.01,0,0.0199999999999998,-0.01,0.03,0,0,-0.01,0.00999999999999998,-0.01,0,0.03,0.0600000000000001,0.0199999999999998,0,0.01,-0.01,-0.01,0.00999999999999998,0.0600000000000001,0,0.0600000000000001,0.02,0.0600000000000001,0,0.0399999999999998,0.0600000000000001
"20101026",0.03,-0.01,-0.04,0,0.0599999999999998,-0.04,0,0,0,0,0,0.01,0,0.07,0.0700000000000001,0.0699999999999998,0.06,0.07,0.01,0,0,0.0800000000000001,0,0.1,0.03,0.0899999999999999,0.0399999999999999,0.0700000000000001,0.0900000000000001
"20101101",0,0,-0.01,0,-0.01,0,0.04,0.01,0,0.01,-0.01,0,0,-0.01,-0.04,-0.01,-0.03,-0.01,0,0.01,-0.01,0.0300000000000002,0,0.02,0,0.0199999999999996,-0.01,0,0.01
"20101103",-0.02,-0.02,0.01,0,0.0799999999999998,0.04,-0.02,0.02,0,0,0,0,0,0.01,0.04,0.0799999999999998,-0.06,-0.02,0,0,0,0.04,0,0.13,0,0.16,-0.02,-0.0399999999999998,-0.02
"20101108",0,-0.01,-0.01,-0.01,0.04,0.05,-0.01,-0.03,0,0,-0.01,-0.01,0.00999999999999998,0.04,0.0600000000000001,0.05,0.03,0.03,-0.01,0,-0.01,0.0700000000000003,0.01,0.0800000000000001,0.08,0.0800000000000001,0.14,0.0899999999999999,0.05
"20101110",-0.01,-0.01,0.01,0,-0.03,0.07,-0.03,0,0,0,0,0.01,0,-0.0199999999999999,-0.0499999999999998,-0.04,-0.06,-0.03,0.01,0,0,-0.0700000000000003,0,0,-0.02,0,-0.03,-0.04,-0.0699999999999998
"20101115",0.00999999999999998,0.01,0.03,0.02,0.14,0,0.04,0.02,0,0.01,0.02,0.01,0.02,0.16,0.21,0.13,0.16,0.15,0.01,0.01,0.02,0.16,0.02,0.13,0.02,0.12,0.0800000000000001,0.16,0.18
"20101117",0.03,0.04,0,-0.00999999999999998,0.02,0.03,0.03,-0.05,0,-0.00999999999999998,0,0,-0.01,-0.03,0.01,0.01,-0.04,-0.04,0,-0.00999999999999998,0,0.04,-0.01,0.0500000000000003,-0.01,0.0499999999999998,-0.02,0,0.0300000000000002
"20101122",-0.01,-0.04,0.01,-0.02,-0.0599999999999998,0.03,0.02,0,0,0.00999999999999998,0.01,0,-0.01,-0.0700000000000001,-0.0600000000000001,-0.0600000000000001,-0.09,-0.08,0,0.00999999999999998,0.01,-0.0800000000000001,-0.01,-0.0600000000000001,-0.03,-0.0499999999999998,-0.0600000000000001,-0.1,-0.0900000000000003
"20101129",0,0,-0.02,0,0.02,0.02,0.03,-0.01,0,0.03,0.00999999999999998,0.01,0.02,0.04,-0.01,0,0.07,0.06,0.01,0.03,0.00999999999999998,0.0699999999999998,0.02,0.0100000000000002,0.07,-0.0199999999999996,0.0800000000000001,0.11,0.11
"20101202",0.03,0.00999999999999998,0.06,-0.01,0,0,0.01,0.02,0,0,-0.01,-0.01,0.01,0.01,0.01,0,0,0,-0.01,0,-0.01,0.0399999999999996,0.00999999999999995,0.02,0.02,0.0299999999999994,0.02,0.04,0.04
"20101206",0.02,0.01,0.05,0,-0.0700000000000001,-0.02,0.04,0.01,0,0.00999999999999998,0,0,0,-0.07,-0.04,-0.05,-0.09,-0.08,0,0.00999999999999998,0,-0.0799999999999996,0,-0.0699999999999998,-0.07,-0.0700000000000003,-0.0700000000000001,-0.11,-0.1
"20101208",0.06,-0.03,0,0,0.11,-0.05,0.02,0.02,0,0.00999999999999998,-0.01,0,0.02,0.15,0.11,0.0999999999999999,0.12,0.14,0,0.00999999999999998,-0.01,0.11,0.02,0.0699999999999994,0.09,0.0600000000000005,0.1,0.13,0.11
"20101210",0,0.02,0,0,0.05,-0.02,-0.03,-0.01,0,-0.01,0,0,-0.01,0.0699999999999998,0.04,0.03,0.08,0.09,0,-0.01,0,0.0899999999999999,-0.01,0.04,0,0.0199999999999996,0.04,0.0800000000000001,0.0800000000000001
"20101214",-0.01,0.01,-0.03,0.02,0.15,0.02,0.01,0.07,0,0,0.01,0,0.03,0.16,0.14,0.14,0.14,0.17,-0.01,0,0.01,0.2,0.01,0.17,0.05,0.15,0.0800000000000001,0.17,0.2
"20101220",0.04,0,0.03,0.00999999999999998,-0.05,-0.04,0.01,-0.05,0,0.01,0,-0.06,-0.01,-0.0799999999999998,-0.0700000000000001,-0.05,-0.04,-0.05,-0.04,0.01,0,-0.11,-0.01,-0.11,-0.04,-0.13,-0.04,-0.0700000000000001,-0.0899999999999999
"20110104",-0.00999999999999998,0.02,0.03,-0.02,0.02,0.01,0,0.01,0,0,0,0.03,-0.03,-0.05,-0.02,0.02,-0.07,-0.0599999999999999,0.03,0,0,0.00999999999999979,-0.02,0,0,0,0.02,0.0199999999999998,0.0100000000000002
"20110106",0,-0.01,-0.02,-0.00999999999999998,-0.03,0.02,-0.02,0,0,0.00999999999999998,-0.01,0,-0.00999999999999995,-0.05,-0.03,-0.02,-0.07,-0.0599999999999999,0,0.00999999999999998,-0.01,-0.0600000000000001,-0.01,-0.0300000000000002,-0.0299999999999999,-0.0199999999999996,-0.0499999999999998,-0.0500000000000003,-0.0600000000000001
"20110110",0,-0.00999999999999998,-0.02,0,-0.02,0,0.01,-0.02,0,0.00999999999999998,0,0.01,0,-0.02,-0.00999999999999979,-0.01,-0.03,-0.0199999999999999,0.01,0.00999999999999998,0,-0.02,0,-0.0199999999999996,-0.01,-0.0100000000000007,-0.03,-0.03,-0.04
"20110112",0.02,-0.02,-0.05,-0.01,0.01,-0.01,0.01,0.00999999999999998,0,0,-0.01,0,-0.02,0.01,0.0199999999999998,0.02,0.01,0.01,0,0,-0.01,0.0299999999999998,-0.02,0.0200000000000005,0.01,0.0299999999999994,0,0.01,0.00999999999999979
"20110114",0.01,0.00999999999999998,-0.01,0,0.04,0.01,0.00999999999999998,-0.04,0,0,0,-0.00999999999999998,0,0.03,0.0299999999999998,0.03,0.04,0.0399999999999999,-0.00999999999999998,0,0,0.0100000000000002,0.01,0.0299999999999994,0,0.0300000000000002,0,0.02,0.0100000000000002
"20110119",-0.01,0.00999999999999998,0.02,-0.01,-0.02,0.01,0.02,-0.06,0,0,0,0.01,0.01,0,-0.01,-0.02,-0.01,0,0.01,0,0,-0.02,0.01,-0.04,0,-0.0299999999999994,-0.02,-0.02,-0.0100000000000002
"20110124",0.02,0.00999999999999998,-0.01,0.00999999999999998,0.01,-0.01,-0.04,-0.03,0,0,-0.01,0,0.01,-0.02,0,0.00999999999999979,-0.02,-0.01,0,0,-0.01,-0.00999999999999979,0.01,-0.0200000000000005,0.02,-0.0200000000000005,0,-0.0100000000000002,-0.0100000000000002
"20110201",-0.01,0,0.02,0.00999999999999998,0,-0.01,-0.03,0.03,0,-0.01,0,0.01,-0.01,-0.0499999999999998,-0.01,0.0100000000000002,-0.06,-0.05,0.01,-0.01,0,0.0299999999999998,0,0.0300000000000002,-0.01,0.0300000000000002,-0.01,-0.00999999999999979,0.0300000000000002
"20110203",-0.01,-0.02,-0.02,-0.00999999999999998,0.0399999999999998,0.02,-0.01,-0.01,0,-0.02,0,-0.00999999999999998,0.01,0.0700000000000001,0.05,0.0299999999999998,0.09,0.1,-0.00999999999999998,-0.02,0,0.0600000000000001,0.00999999999999995,0.04,0.0399999999999999,0.0300000000000002,0.0699999999999998,0.0800000000000001,0.0800000000000001
